Acid Arrow	Flecha ácida
Levitate	Levitar
Light	Luz
Lightning Bolt	Relámpago
Locate Animals or Plants	Localizar animales o plantas
Locate Creature	Localizar criatura
Locate Object	Localizar objeto
Longstrider	Zancada prodigiosa
Mage Armor	Armadura de mago
Mage Hand	Mano de mago
Magic Circle	Círculo mágico
Magic Jar	Urna mágica
Magic Missile	Proyectil mágico
Magic Mouth	Boca mágica
Magic Weapon	Arma mágica
Magnificent Mansion	Mansión magnífica
Major Image	Imagen mayor
Mass Cure Wounds	Curar heridas en masa
Mass Heal	Curar en masa
Mass Healing Word	Palabra de curación en masa
Mass Suggestion	Sugestión en masa
Maze	Laberinto
Meld into Stone	Fundirse con la piedra
Mending	Reparar
Message	Mensaje
Meteor Swarm	Tormenta de meteoritos
Mind Blank	Mente en blanco
Mind Spike	Clavo mental
Minor Illusion	Ilusión menor
Mirage Arcane	Espejismo arcano
Mirror Image	Imagen múltiple
Mislead	Engañar
Misty Step	Paso brumoso
Modify Memory	Alterar los recuerdos
Moonbeam	Rayo de luna
Move Earth	Mover la tierra
Nondetection	Indetectable
Passwall	Pasamuros
Pass without Trace	Pasar sin rastro
Phantasmal Force	Fuerza fantasmal
Phantasmal Killer	Asesino fantasmal
Phantom Steed	Corcel fantasma
Planar Ally	Aliado planar
Planar Binding	Atadura planar
Plane Shift	Desplazamiento entre planos
Plant Growth	Crecimiento vegetal
Poison Spray	Rociada venenosa
Polymorph	Polimorfar
Power Word Heal	Palabra de poder: sanar
Power Word Kill	Palabra de poder: matar
Power Word Stun	Palabra de poder: aturdir
Prayer of Healing	Vigilia sanadora
Prestidigitation	Prestidigitación
Prismatic Spray	Rociada prismática
Prismatic Wall	Muro prismático
Private Sanctum	Sanctasanctórum privado
Produce Flame	Crear llama
Programmed Illusion	Ilusión programada
Project Image	Proyectar imagen
Protection from Energy	Protección contra energía
Protection from Evil and Good	Protección contra el bien y el mal
Protection from Poison	Protección contra veneno
Purify Food and Drink	Purificar comida y bebida
Raise Dead	Alzar a los muertos
Ray of Enfeeblement	Rayo debilitador
Ray of Frost	Rayo de escarcha
Regenerate	Regenerar
Ray of Sickness	Rayo nauseabundo
Reincarnate	Reencarnar
Remove Curse	Levantar maldición
Resilient Sphere	Esfera elástica
Resistance	Resistencia
Resurrection	Resurrección
Reverse Gravity	Invertir la gravedad
Revivify	Revivir
Rope Trick	Truco de la cuerda
Sacred Flame	Llama astral
Sanctuary	Santuario
Scorching Ray	Rayo abrasador
Scrying	Escudriñar
Searing Smite	Golpe abrasador
Secret Chest	Cofre oculto
See Invisibility	Ver invisibilidad
Seeming	Apariencia
Sending	Recado
Sequester	Recluir
Shapechange	Cambiar de forma
Shatter	Hacer añicos
Shield	Escudo
Shield of Faith	Égida
Shillelagh	Shillelagh
Shining Smite	Golpe fulgurante
Shocking Grasp	Agarre electrizante
Silence	Silencio
Silent Image	Imagen silenciosa
Simulacrum	Simulacro
Sleep	Dormir
Sleet Storm	Tormenta de aguanieve
Slow	Ralentizar
Sorcerous Burst	Estallido mágico
Spare the Dying	Piedad con los moribundos
Speak with Animals	Hablar con los animales
Speak with Dead	Hablar con los muertos
Speak with Plants	Hablar con las plantas
Spider Climb	Trepar cual arácnido
Spike Growth	Crecimiento espinoso
Spirit Guardians	Espíritus guardianes
Spiritual Weapon	Arma espiritual
Starry Wisp	Voluta estelar
Stinking Cloud	Nube apestosa
Stone Shape	Moldear la piedra
Stoneskin	Piel pétrea
Storm of Vengeance	Tormenta de la venganza
Suggestion	Sugestión
Summon Dragon	Invocar dragón
Sunbeam	Rayo solar
Sunburst	Explosión solar
Symbol	Símbolo
Telekinesis	Telequinesis
Telepathic Bond	Enlace telepático
Teleport	Teletransporte
Teleportation Circle	Círculo de teletransportación
Thaumaturgy	Taumaturgia
Thunderwave	Ola atronadora
Time Stop	Parar el tiempo
Tiny Hut	Pequeña choza
Tongues	Don de lenguas
Transport via Plants	Viajar mediante plantas
Tree Stride	Paso arbóreo
True Polymorph	Polimorfar verdadero
True Resurrection	Resurrección verdadera
True Seeing	Visión veraz
True Strike	Impacto certero
Tsunami	Tsunami
Unseen Servant	Sirviente invisible
Vampiric Touch	Toque vampírico
Vicious Mockery	Burla dañina
Vitriolic Sphere	Esfera vitriólica
Wall of Fire	Muro de fuego
Wall of Force	Muro de fuerza
Wall of Ice	Muro de hielo
Wall of Stone	Muro de piedra
Wall of Thorns	Muro de espinas
Warding Bond	Vínculo protector
Water Breathing	Branquias
Water Walk	Caminar sobre el agua
Web	Telaraña
Weird	Terror abyecto
Wind Walk	Viajar con el viento
Wind Wall	Muro de viento
Wish	Deseo
Word of Recall	Palabra de regreso
Zone of Truth	Zona de la verdad
